,Company,Security,GICS Sector,GICS Sub-Industry,Founded,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,Date
5879,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,97.39,109.56,94.72,108.51,32491600,0,0,2021,12,1,2021/12/01
5880,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,109.35,111,94.39,101.34,28208000,0,0,2022,1,1,2022/01/01
5881,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,101.53,106.6,91.1,96.85,31409400,0,0,2022,2,1,2022/02/01
5882,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,96.86,98.96,84.62,91.52,48886600,0,0,2022,3,1,2022/03/01
5883,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,92,92.8,82.62,83.04,37774800,0,0,2022,4,1,2022/04/01
5884,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,83.52,85.96,76.35,82.84,49985600,0,0,2022,5,1,2022/05/01
5885,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,83.16,83.16,67.68,73.61,49931900,0,0,2022,6,1,2022/06/01
5886,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,73.18,85.93,73.18,85.62,32011200,0,0,2022,7,1,2022/07/01
5887,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,84.69,87.96,78.49,78.96,31718300,0,0,2022,8,1,2022/08/01
5888,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,78.26,82.34,66.74,67.51,38285600,0,0,2022,9,1,2022/09/01
5889,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,68.66,73.69,66.31,70.94,37213300,0,0,2022,10,1,2022/10/01
5890,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,72.11,79.97,68.07,79.6,35039600,0,0,2022,11,1,2022/11/01
5891,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,80.08,80.83,74.56,76.96,30406400,0,0,2022,12,1,2022/12/01
5892,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,78.04,86.52,77.47,85.51,25570200,0,0,2023,1,1,2023/01/01
5893,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,84.83,89.58,82.98,85.14,27147100,0,0,2023,2,1,2023/02/01
5894,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,84.6,86.56,66.43,72.81,46356300,0,0,2023,3,1,2023/03/01
5895,CDW,CDW,Information Technology,Technology Distributors,1984,65.69,71.91,65.03,70.45,13522500,0,0,2018,1,1,2018/01/01
5896,CDW,CDW,Information Technology,Technology Distributors,1984,70.13,72.28,63,68.7,24509400,0.21,0,2018,2,1,2018/02/01
5897,CDW,CDW,Information Technology,Technology Distributors,1984,69.23,71.94,65.44,66.43,17621700,0,0,2018,3,1,2018/03/01
5898,CDW,CDW,Information Technology,Technology Distributors,1984,66.39,68.86,63.72,67.35,12488600,0,0,2018,4,1,2018/04/01
5899,CDW,CDW,Information Technology,Technology Distributors,1984,67.55,77.44,67.24,75.63,18332600,0.21,0,2018,5,1,2018/05/01
5900,CDW,CDW,Information Technology,Technology Distributors,1984,76.21,81.29,75.76,76.53,20448600,0,0,2018,6,1,2018/06/01
5901,CDW,CDW,Information Technology,Technology Distributors,1984,76.04,83.7,75.85,79.66,15038800,0,0,2018,7,1,2018/07/01
5902,CDW,CDW,Information Technology,Technology Distributors,1984,79.82,84.13,78.43,82.94,17686900,0.21,0,2018,8,1,2018/08/01
5903,CDW,CDW,Information Technology,Technology Distributors,1984,83.51,85.94,81.86,84.44,15930900,0,0,2018,9,1,2018/09/01
5904,CDW,CDW,Information Technology,Technology Distributors,1984,84.73,87.53,73.83,85.47,22563800,0,0,2018,10,1,2018/10/01
5905,CDW,CDW,Information Technology,Technology Distributors,1984,85,89.19,80.9,88.01,21870200,0.295,0,2018,11,1,2018/11/01
5906,CDW,CDW,Information Technology,Technology Distributors,1984,89.09,92.19,70.81,77.23,24137100,0,0,2018,12,1,2018/12/01
5907,CDW,CDW,Information Technology,Technology Distributors,1984,75.92,88.2,72.48,79.34,20276300,0,0,2019,1,1,2019/01/01
5908,CDW,CDW,Information Technology,Technology Distributors,1984,79.61,92.48,78.86,89.46,16788800,0.295,0,2019,2,1,2019/02/01
5909,CDW,CDW,Information Technology,Technology Distributors,1984,90.08,94.9,86.53,92.11,15082800,0,0,2019,3,1,2019/03/01
5910,CDW,CDW,Information Technology,Technology Distributors,1984,92.97,103.77,92.76,100.93,15068700,0,0,2019,4,1,2019/04/01
5911,CDW,CDW,Information Technology,Technology Distributors,1984,105.58,106.66,93.6,94.09,15018900,0.295,0,2019,5,1,2019/05/01
5912,CDW,CDW,Information Technology,Technology Distributors,1984,94.35,106.79,94.25,106.39,15812400,0,0,2019,6,1,2019/06/01
5913,CDW,CDW,Information Technology,Technology Distributors,1984,108.26,114.75,104.75,113.25,16905300,0,0,2019,7,1,2019/07/01
5914,CDW,CDW,Information Technology,Technology Distributors,1984,113.58,115.8,101.59,110.7,15742300,0.295,0,2019,8,1,2019/08/01
5915,CDW,CDW,Information Technology,Technology Distributors,1984,111,119.48,105.78,118.42,55179600,0,0,2019,9,1,2019/09/01
5916,CDW,CDW,Information Technology,Technology Distributors,1984,118.6,127.17,112.95,122.91,24499700,0,0,2019,10,1,2019/10/01
5917,CDW,CDW,Information Technology,Technology Distributors,1984,123.92,133.45,123.45,129.77,17543700,0.38,0,2019,11,1,2019/11/01
5918,CDW,CDW,Information Technology,Technology Distributors,1984,130.95,139.67,126.05,137.63,20667900,0,0,2019,12,1,2019/12/01
5919,CDW,CDW,Information Technology,Technology Distributors,1984,139.22,140.77,125.18,125.7,22636400,0,0,2020,1,1,2020/01/01
5920,CDW,CDW,Information Technology,Technology Distributors,1984,125.98,133.9,106.88,110.06,24160300,0.38,0,2020,2,1,2020/02/01
5921,CDW,CDW,Information Technology,Technology Distributors,1984,111.47,116.83,70.92,90.13,43687500,0,0,2020,3,1,2020/03/01
5922,CDW,CDW,Information Technology,Technology Distributors,1984,86.31,108.36,82.89,107.07,22659000,0,0,2020,4,1,2020/04/01
